0	2.75
0	2.75
0	0.845
0	0.845
0	0.845
0	0.845
0.832098	0.845
1	0.845
1.6642	0.845
2	0.845
2.49629	0.845
3	0.845
3.32839	0.845
4	0.845
4.16049	0.845
4.99259	0.845
5	0.845
5.82469	0.845
6	0.845
6.65678	0.845
7	0.845
7.48888	0.845
8	0.845
8.32098	0.845
9	0.845
9.15308	0.845
9.98518	0.845
10	0.845
10.2165	0.845
10.2165	0.845
10.2165	0.845
10.2165	0.845
10.2165	2.04
10.2165	2.04
10.2165	2.04
10.2165	2.04
11	2.04
11.2061	2.04
12	2.04
12.1956	2.04
13	2.04
13.1851	2.04
14	2.04
14.1747	2.04
15	2.04
15.1642	2.04
16	2.04
16.1538	2.04
17	2.04
17.1433	2.04
18	2.04
18.1328	2.04
19	2.04
19.1224	2.04
20	2.04
20.1119	2.04
21	2.04
21.1015	2.04
22	2.04
22.091	2.04
23	2.04
23.0806	2.04
23.8629	2.04
23.8629	2.04
23.8629	2.04
23.8629	2.04
24	2.04
24.7049	2.04
25	2.04
25.1072	2.04
25.1072	2.04
25.1072	2.04
25.1072	2.75
25.4925	2.75
26	2.75
26.0119	2.75
26.5313	2.75
27	2.75
27.0507	2.75
27.1072	2.75
27.1072	2.75
27.1072	2.75
27.1072	1.52
28	1.52
28.6542	1.52
29	1.52
29.5093	1.52
30	1.52
30.3644	1.52
31	1.52
31.2195	1.52
32	1.52
32.0746	1.52
32.9297	1.52
33	1.52
33.7848	1.52
34	1.52
34.6399	1.52
35	1.52
35.4949	1.52
36	1.52
36.35	1.52
37	1.52
37.2051	1.52
38	1.52
38.0602	1.52
38.9153	1.52
39	1.52
39.7704	1.52
40	1.52
40.6255	1.52
41	1.52
41.4806	1.52
42	1.52
42.3356	1.52
43	1.52
43.1907	1.52
44	1.52
44.0458	1.52
44.9009	1.52
45	1.52
45.3258	1.52
45.3258	1.52
45.3258	1.52
45.3258	2.75
45.7397	2.75
46	2.75
46.4884	2.75
47	2.75
47.2372	2.75
47.986	2.75
48	2.75
48.7347	2.75
49	2.75
49.4835	2.75
50	2.75
50.2323	2.75
50.9811	2.75
51	2.75
51.7298	2.75
52	2.75
52.4786	2.75
53	2.75
53.2274	2.75
53.9761	2.75
54	2.75
54.7249	2.75
55	2.75
55.4737	2.75
56	2.75
56.2224	2.75
56.9712	2.75
57	2.75
57.72	2.75
58	2.75
58.4687	2.75
59	2.75
59.2175	2.75
59.9663	2.75
60	2.75
